model_run;-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;kf_riv;rhkp;rhkf;man;rch;offset;ME;50E;MAE;50AE;RBIAS;RABIAS;r_rank;r_lin;n_5m;n_3m;n_1m;MAE_sfr;ME_sfr;RBIAS_sfr;RABIAS_sfr;r_rank_sfr;r_lin_sfr;r_rank_multi;MAE_multi
20;500.0;1.5;1.0;1.0;1.272;1.0;1.0;1.0;0.25;5.0;5.0;0.954;1.0;1.0;1.0;0.25;4.5;4.5;0.528;1.0;1.0;0.25;1.0;0.00125;0.000231481;1.0;1.0;1.0;;;;;;;;;;;;;;;;;;;
21;500.0;1.5;1.0;1.0;1.272;1.0;1.0;1.0;0.25;5.0;5.0;0.954;1.0;1.0;1.0;0.25;4.5;4.5;0.528;1.0;1.0;0.25;1.0;0.00125;0.000231481;1.0;1.0;1.5;;;;;;;;;;;;;;;;;;;
22;500.0;1.5;1.0;1.0;1.272;1.0;1.0;1.0;0.25;5.0;5.0;0.954;1.0;1.0;1.0;0.25;4.5;4.5;0.528;1.0;1.0;0.25;1.0;0.00125;0.000231481;1.0;1.0;2.0;;;;;;;;;;;;;;;;;;;
23;500.0;1.5;1.0;1.0;1.272;1.0;1.0;1.0;0.25;5.0;5.0;0.954;1.0;1.0;1.0;0.25;4.5;4.5;0.528;1.0;1.0;0.25;1.0;0.00125;0.000231481;1.0;1.0;2.5;;;;;;;;;;;;;;;;;;;
24;500.0;1.5;1.0;1.0;1.272;1.0;1.0;1.0;0.25;5.0;5.0;0.954;1.0;1.0;1.0;0.25;4.5;4.5;0.528;1.0;1.0;0.25;1.0;0.00125;0.000231481;1.0;1.0;5.0;;;;;;;;;;;;;;;;;;;
25;500.0;1.5;1.0;1.0;1.272;1.0;1.0;1.0;0.25;5.0;5.0;0.954;1.0;1.0;1.0;0.25;4.5;4.5;0.528;1.0;1.0;0.25;1.0;0.00125;0.000231481;1.0;1.0;10.0;;;;;;;;;;;;;;;;;;;
26;500.0;1.5;1.0;1.0;1.272;1.0;1.0;1.0;0.25;5.0;5.0;0.954;1.0;1.0;1.0;0.25;4.5;4.5;0.528;1.0;1.0;0.25;2.0;0.00125;0.000231481;1.0;1.0;3.0;;;;;;;;;;;;;;;;;;;
27;500.0;1.5;1.0;1.0;1.272;1.0;1.0;1.0;0.25;5.0;5.0;0.954;1.0;1.0;1.0;0.25;4.5;4.5;0.528;1.0;1.0;0.25;3.0;0.00125;0.000231481;1.0;1.0;3.0;;;;;;;;;;;;;;;;;;;
28;500.0;1.5;1.0;1.0;1.272;1.0;1.0;1.0;0.25;5.0;5.0;0.954;1.0;1.0;1.0;0.25;4.5;4.5;0.528;1.0;1.0;0.25;4.0;0.00125;0.000231481;1.0;1.0;3.0;;;;;;;;;;;;;;;;;;;
29;500.0;1.5;1.0;1.0;1.272;1.0;1.0;1.0;0.25;5.0;5.0;0.954;1.0;1.0;1.0;0.25;4.5;4.5;0.528;1.0;1.0;0.25;5.0;0.00125;0.000231481;1.0;1.0;3.0;;;;;;;;;;;;;;;;;;;
